ecozone,extent_2000,extent_perc,gain,gain_perc,id,loss,loss_perc,thresh,year
Boreal,1225067746.8387,68.3922339355415,1724927.0973699999,0.14080258841367688,234,3205015.3990665,0.2616194416461518,10,2001
Subtropical,393805299.17046297,17.48929888050011,1617518.069793075,0.41074055458378034,824,2090262.844242691,0.5307858600800335,10,2001
Temperate,637185644.80702,23.69520272179156,1299885.7886921668,0.20400424888508817,769,1751364.7946626341,0.27485942424096166,10,2001
Tropical,2552413637.8336973,44.93108045397272,2060309.6983481832,0.08072005523747412,1251,7068385.067186829,0.27692945071340236,10,2001
Boreal,1225067746.8387,68.3922339355415,1724927.0973699999,0.14080258841367688,234,5358440.129536999,0.437399494302622,10,2002
Subtropical,393805299.17046297,17.48929888050011,1617518.069793075,0.41074055458378034,824,2214569.020429395,0.5623512494865628,10,2002
Temperate,637185644.80702,23.69520272179156,1299885.7886921668,0.20400424888508817,769,1787941.4606566527,0.2805997710758462,10,2002
Tropical,2552413637.8336973,44.93108045397272,2060309.6983481832,0.08072005523747412,1251,8137979.892073978,0.3188346814735288,10,2002
Boreal,1225067746.8387,68.3922339355415,1724927.0973699999,0.14080258841367688,234,4658131.4030436,0.3802345964183578,10,2003
Subtropical,393805299.17046297,17.48929888050011,1617518.069793075,0.41074055458378034,824,2006862.9971322683,0.5096079208074789,10,2003
Temperate,637185644.80702,23.69520272179156,1299885.7886921668,0.20400424888508817,769,1715586.465802434,0.26924436854223577,10,2003
Tropical,2552413637.8336973,44.93108045397272,2060309.6983481832,0.08072005523747412,1251,7056836.285057796,0.2764769855659886,10,2003
Boreal,1225067746.8387,68.3922339355415,1724927.0973699999,0.14080258841367688,234,6694027.538533,0.5464210086182587,10,2004
Subtropical,393805299.17046297,17.48929888050011,1617518.069793075,0.41074055458378034,824,2256784.1693704003,0.5730710516400457,10,2004
Temperate,637185644.80702,23.69520272179156,1299885.7886921668,0.20400424888508817,769,2710758.875272232,0.4254268590895862,10,2004
Tropical,2552413637.8336973,44.93108045397272,2060309.6983481832,0.08072005523747412,1251,9213782.9024181,0.36098314026554434,10,2004
Boreal,1225067746.8387,68.3922339355415,1724927.0973699999,0.14080258841367688,234,5017901.711604301,0.40960197707865936,10,2005
Subtropical,393805299.17046297,17.48929888050011,1617518.069793075,0.41074055458378034,824,2328451.384993298,0.5912696933987682,10,2005
Temperate,637185644.80702,23.69520272179156,1299885.7886921668,0.20400424888508817,769,2335306.883226826,0.366503373429592,10,2005
Tropical,2552413637.8336973,44.93108045397272,2060309.6983481832,0.08072005523747412,1251,9361162.837459322,0.3667572801955562,10,2005
Boreal,1225067746.8387,68.3922339355415,1724927.0973699999,0.14080258841367688,234,5124695.705027,0.41831937198994346,10,2006
Subtropical,393805299.17046297,17.48929888050011,1617518.069793075,0.41074055458378034,824,2463706.4885908454,0.6256153723122967,10,2006
Temperate,637185644.80702,23.69520272179156,1299885.7886921668,0.20400424888508817,769,2334246.60997446,0.366336974004086,10,2006
Tropical,2552413637.8336973,44.93108045397272,2060309.6983481832,0.08072005523747412,1251,8732584.984697022,0.3421304781974368,10,2006
Boreal,1225067746.8387,68.3922339355415,1724927.0973699999,0.14080258841367688,234,4169378.2128871,0.34033858320457977,10,2007
Subtropical,393805299.17046297,17.48929888050011,1617518.069793075,0.41074055458378034,824,2764181.917152671,0.7019158764433397,10,2007
Temperate,637185644.80702,23.69520272179156,1299885.7886921668,0.20400424888508817,769,2835161.468045957,0.44495061857594465,10,2007
Tropical,2552413637.8336973,44.93108045397272,2060309.6983481832,0.08072005523747412,1251,9641129.142901752,0.3777259688631205,10,2007
Boreal,1225067746.8387,68.3922339355415,1724927.0973699999,0.14080258841367688,234,4919891.9568759,0.401601623222204,10,2008
Subtropical,393805299.17046297,17.48929888050011,1617518.069793075,0.41074055458378034,824,2785251.844566142,0.7072662177053425,10,2008
Temperate,637185644.80702,23.69520272179156,1299885.7886921668,0.20400424888508817,769,2478675.123626273,0.38900360418147406,10,2008
Tropical,2552413637.8336973,44.93108045397272,2060309.6983481832,0.08072005523747412,1251,9469179.786230296,0.3709892333229753,10,2008
Boreal,1225067746.8387,68.3922339355415,1724927.0973699999,0.14080258841367688,234,3647817.5578610003,0.2977645576968483,10,2009
Subtropical,393805299.17046297,17.48929888050011,1617518.069793075,0.41074055458378034,824,2147760.0502268337,0.5453862745755365,10,2009
Temperate,637185644.80702,23.69520272179156,1299885.7886921668,0.20400424888508817,769,2061297.2901846913,0.3235002713862115,10,2009
Tropical,2552413637.8336973,44.93108045397272,2060309.6983481832,0.08072005523747412,1251,10259805.87589338,0.4019648588228496,10,2009
Boreal,1225067746.8387,68.3922339355415,1724927.0973699999,0.14080258841367688,234,4170012.5349709997,0.3403903617356477,10,2010
Subtropical,393805299.17046297,17.48929888050011,1617518.069793075,0.41074055458378034,824,2464398.8734194855,0.6257911913858587,10,2010
Temperate,637185644.80702,23.69520272179156,1299885.7886921668,0.20400424888508817,769,2382042.488479825,0.3738380655454437,10,2010
Tropical,2552413637.8336973,44.93108045397272,2060309.6983481832,0.08072005523747412,1251,10442762.498691354,0.40913284367005687,10,2010
Boreal,1225067746.8387,68.3922339355415,1724927.0973699999,0.14080258841367688,234,4814331.5802386,0.3929849261530256,10,2011
Subtropical,393805299.17046297,17.48929888050011,1617518.069793075,0.41074055458378034,824,2216096.668155924,0.5627391690320201,10,2011
Temperate,637185644.80702,23.69520272179156,1299885.7886921668,0.20400424888508817,769,2292684.7247654363,0.35981424620132585,10,2011
Tropical,2552413637.8336973,44.93108045397272,2060309.6983481832,0.08072005523747412,1251,9209965.107661989,0.3608335644013693,10,2011
Boreal,1225067746.8387,68.3922339355415,1724927.0973699999,0.14080258841367688,234,7968083.285436,0.6504198078839085,10,2012
Subtropical,393805299.17046297,17.48929888050011,1617518.069793075,0.41074055458378034,824,2510561.1592146317,0.6375133002280672,10,2012
Temperate,637185644.80702,23.69520272179156,1299885.7886921668,0.20400424888508817,769,2427748.498090092,0.381011172783933,10,2012
Tropical,2552413637.8336973,44.93108045397272,2060309.6983481832,0.08072005523747412,1251,11385456.300598871,0.4460662696608226,10,2012
Boreal,1225067746.8387,68.3922339355415,1724927.0973699999,0.14080258841367688,234,7752769.273919301,0.6328441258800097,10,2013
Subtropical,393805299.17046297,17.48929888050011,1617518.069793075,0.41074055458378034,824,1997799.103978424,0.5073063029336369,10,2013
Temperate,637185644.80702,23.69520272179156,1299885.7886921668,0.20400424888508817,769,1617655.7655898267,0.2538751114017572,10,2013
Tropical,2552413637.8336973,44.93108045397272,2060309.6983481832,0.08072005523747412,1251,8932921.89119628,0.3499793982756609,10,2013
Boreal,1149792162.0447001,64.18980070835786,1724927.0973699999,0.1500207736937887,234,3111655.5001491997,0.27062764931495753,15,2001
Subtropical,371360296.5279089,16.492493199072946,1617518.069793075,0.43556569857260263,824,2075897.0671862145,0.5589981176219263,15,2001
Temperate,617217311.8482099,22.95263467850405,1299885.7886921668,0.21060423350728105,769,1741879.4969849554,0.2822149449711692,15,2001
Tropical,2361890800.9353747,41.57723655261232,2060309.6983481832,0.08723136977934132,1251,6971702.8472562,0.295174647553359,15,2001
Boreal,1149792162.0447001,64.18980070835786,1724927.0973699999,0.1500207736937887,234,5156493.563685,0.4484717963736243,15,2002
Subtropical,371360296.5279089,16.492493199072946,1617518.069793075,0.43556569857260263,824,2199690.747114407,0.592333312871828,15,2002
Temperate,617217311.8482099,22.95263467850405,1299885.7886921668,0.21060423350728105,769,1776379.2651308996,0.2878045108313097,15,2002
Tropical,2361890800.9353747,41.57723655261232,2060309.6983481832,0.08723136977934132,1251,8019836.522648519,0.33955153724602505,15,2002
Boreal,1149792162.0447001,64.18980070835786,1724927.0973699999,0.1500207736937887,234,4520525.0637746,0.3931601912936728,15,2003
Subtropical,371360296.5279089,16.492493199072946,1617518.069793075,0.43556569857260263,824,1987530.4282109044,0.5352027254377031,15,2003
Temperate,617217311.8482099,22.95263467850405,1299885.7886921668,0.21060423350728105,769,1704055.7221451788,0.276086831887867,15,2003
Tropical,2361890800.9353747,41.57723655261232,2060309.6983481832,0.08723136977934132,1251,6964477.3299229555,0.2948687266644515,15,2003
Boreal,1149792162.0447001,64.18980070835786,1724927.0973699999,0.1500207736937887,234,6526970.895978,0.5676652799903373,15,2004
Subtropical,371360296.5279089,16.492493199072946,1617518.069793075,0.43556569857260263,824,2239873.4715896887,0.6031537276687183,15,2004
Temperate,617217311.8482099,22.95263467850405,1299885.7886921668,0.21060423350728105,769,2696581.257356214,0.43689332842617595,15,2004
Tropical,2361890800.9353747,41.57723655261232,2060309.6983481832,0.08723136977934132,1251,9084815.349855714,0.3846416331465397,15,2004
Boreal,1149792162.0447001,64.18980070835786,1724927.0973699999,0.1500207736937887,234,4958901.1172873005,0.43128673868056117,15,2005
Subtropical,371360296.5279089,16.492493199072946,1617518.069793075,0.43556569857260263,824,2305673.7040370526,0.6208724318658481,15,2005
Temperate,617217311.8482099,22.95263467850405,1299885.7886921668,0.21060423350728105,769,2326118.5600674367,0.37687189186285996,15,2005
Tropical,2361890800.9353747,41.57723655261232,2060309.6983481832,0.08723136977934132,1251,9198312.34100179,0.3894469777078179,15,2005
Boreal,1149792162.0447001,64.18980070835786,1724927.0973699999,0.1500207736937887,234,5020706.62787,0.43666210238740616,15,2006
Subtropical,371360296.5279089,16.492493199072946,1617518.069793075,0.43556569857260263,824,2444798.5511551406,0.658336007918231,15,2006
Temperate,617217311.8482099,22.95263467850405,1299885.7886921668,0.21060423350728105,769,2324051.0452400306,0.3765369182988141,15,2006
Tropical,2361890800.9353747,41.57723655261232,2060309.6983481832,0.08723136977934132,1251,8577547.549269632,0.3631644420594163,15,2006
Boreal,1149792162.0447001,64.18980070835786,1724927.0973699999,0.1500207736937887,234,4121655.6361491,0.35846962365959,15,2007
Subtropical,371360296.5279089,16.492493199072946,1617518.069793075,0.43556569857260263,824,2744391.3194006733,0.7390104287022033,15,2007
Temperate,617217311.8482099,22.95263467850405,1299885.7886921668,0.21060423350728105,769,2822675.824692644,0.45732285380012405,15,2007
Tropical,2361890800.9353747,41.57723655261232,2060309.6983481832,0.08723136977934132,1251,9447420.75530836,0.399993968881496,15,2007
Boreal,1149792162.0447001,64.18980070835786,1724927.0973699999,0.1500207736937887,234,4847912.2632605,0.42163378941802426,15,2008
Subtropical,371360296.5279089,16.492493199072946,1617518.069793075,0.43556569857260263,824,2769739.531029553,0.7458362019110997,15,2008
Temperate,617217311.8482099,22.95263467850405,1299885.7886921668,0.21060423350728105,769,2468085.288361715,0.3998729849250701,15,2008
Tropical,2361890800.9353747,41.57723655261232,2060309.6983481832,0.08723136977934132,1251,9277766.447922738,0.3928109819576961,15,2008
Boreal,1149792162.0447001,64.18980070835786,1724927.0973699999,0.1500207736937887,234,3575469.2326066005,0.3109665686229994,15,2009
Subtropical,371360296.5279089,16.492493199072946,1617518.069793075,0.43556569857260263,824,2135065.0118962326,0.5749308776027907,15,2009
Temperate,617217311.8482099,22.95263467850405,1299885.7886921668,0.21060423350728105,769,2054368.1758415552,0.3328435765500335,15,2009
Tropical,2361890800.9353747,41.57723655261232,2060309.6983481832,0.08723136977934132,1251,10043697.441849906,0.4252397036252616,15,2009
Boreal,1149792162.0447001,64.18980070835786,1724927.0973699999,0.1500207736937887,234,4103971.8441509996,0.3569316246557828,15,2010
Subtropical,371360296.5279089,16.492493199072946,1617518.069793075,0.43556569857260263,824,2452435.731009964,0.660392549752732,15,2010
Temperate,617217311.8482099,22.95263467850405,1299885.7886921668,0.21060423350728105,769,2375604.829991909,0.38488953313353164,15,2010
Tropical,2361890800.9353747,41.57723655261232,2060309.6983481832,0.08723136977934132,1251,10284431.71048234,0.4354321421807231,15,2010
Boreal,1149792162.0447001,64.18980070835786,1724927.0973699999,0.1500207736937887,234,4700161.7498687,0.40878359629015926,15,2011
Subtropical,371360296.5279089,16.492493199072946,1617518.069793075,0.43556569857260263,824,2204735.075462411,0.5936916509589006,15,2011
Temperate,617217311.8482099,22.95263467850405,1299885.7886921668,0.21060423350728105,769,2285878.614788275,0.37035231690818704,15,2011
Tropical,2361890800.9353747,41.57723655261232,2060309.6983481832,0.08723136977934132,1251,9061543.01379957,0.38365630664258255,15,2011
Boreal,1149792162.0447001,64.18980070835786,1724927.0973699999,0.1500207736937887,234,7745910.908381,0.6736792234351537,15,2012
Subtropical,371360296.5279089,16.492493199072946,1617518.069793075,0.43556569857260263,824,2493044.8591337344,0.6713277866381642,15,2012
Temperate,617217311.8482099,22.95263467850405,1299885.7886921668,0.21060423350728105,769,2417639.188928103,0.39169983448595574,15,2012
Tropical,2361890800.9353747,41.57723655261232,2060309.6983481832,0.08723136977934132,1251,11207900.85798831,0.47453086542145245,15,2012
Boreal,1149792162.0447001,64.18980070835786,1724927.0973699999,0.1500207736937887,234,7493310.3964583,0.6517099910589741,15,2013
Subtropical,371360296.5279089,16.492493199072946,1617518.069793075,0.43556569857260263,824,1965045.965496378,0.5291481033026099,15,2013
Temperate,617217311.8482099,22.95263467850405,1299885.7886921668,0.21060423350728105,769,1608136.1364356116,0.26054618131500096,15,2013
Tropical,2361890800.9353747,41.57723655261232,2060309.6983481832,0.08723136977934132,1251,8748981.669417966,0.3704227844044748,15,2013
Boreal,1126291795.9257,62.87783854028264,1724927.0973699999,0.15315099547114086,234,3068084.7312769,0.27240584921026073,20,2001
Subtropical,355129829.97845393,15.771681465327061,1617518.069793075,0.45547231836064334,824,2000399.8445136603,0.5632869096451364,20,2001
Temperate,605654613.5833399,22.522649349063713,1299885.7886921668,0.21462492971058636,769,1736546.8140248195,0.2867222960212562,20,2001
Tropical,2137156235.1562457,37.62115094558635,2060309.6983481832,0.09640426209633456,1251,6824046.637020499,0.3193049962733117,20,2001
Boreal,1126291795.9257,62.87783854028264,1724927.0973699999,0.15315099547114086,234,5074538.127364,0.45055270274726933,20,2002
Subtropical,355129829.97845393,15.771681465327061,1617518.069793075,0.45547231836064334,824,2151318.90734224,0.6057837798285666,20,2002
Temperate,605654613.5833399,22.522649349063713,1299885.7886921668,0.21462492971058636,769,1770772.1131294677,0.2923732558813909,20,2002
Tropical,2137156235.1562457,37.62115094558635,2060309.6983481832,0.09640426209633456,1251,7843113.095834075,0.36698828877434275,20,2002
Boreal,1126291795.9257,62.87783854028264,1724927.0973699999,0.15315099547114086,234,4474533.4238722995,0.39728012226127224,20,2003
Subtropical,355129829.97845393,15.771681465327061,1617518.069793075,0.45547231836064334,824,1883559.4698442833,0.5303861604525197,20,2003
Temperate,605654613.5833399,22.522649349063713,1299885.7886921668,0.21462492971058636,769,1697848.4411423546,0.2803327842410179,20,2003
Tropical,2137156235.1562457,37.62115094558635,2060309.6983481832,0.09640426209633456,1251,6785291.145043787,0.31749158219814094,20,2003
Boreal,1126291795.9257,62.87783854028264,1724927.0973699999,0.15315099547114086,234,6453079.902865,0.5729492060768506,20,2004
Subtropical,355129829.97845393,15.771681465327061,1617518.069793075,0.45547231836064334,824,2219961.95776687,0.6251127814021022,20,2004
Temperate,605654613.5833399,22.522649349063713,1299885.7886921668,0.21462492971058636,769,2689315.401977414,0.444034494522571,20,2004
Tropical,2137156235.1562457,37.62115094558635,2060309.6983481832,0.09640426209633456,1251,8906675.648061763,0.4167536046989379,20,2004
Boreal,1126291795.9257,62.87783854028264,1724927.0973699999,0.15315099547114086,234,4907497.1687086,0.4357216474861317,20,2005
Subtropical,355129829.97845393,15.771681465327061,1617518.069793075,0.45547231836064334,824,2255978.980587626,0.6352547125440007,20,2005
Temperate,605654613.5833399,22.522649349063713,1299885.7886921668,0.21462492971058636,769,2320913.4434265317,0.3832074240621907,20,2005
Tropical,2137156235.1562457,37.62115094558635,2060309.6983481832,0.09640426209633456,1251,8946188.304936336,0.4186024473911374,20,2005
Boreal,1126291795.9257,62.87783854028264,1724927.0973699999,0.15315099547114086,234,4944577.3855604995,0.4390138864055693,20,2006
Subtropical,355129829.97845393,15.771681465327061,1617518.069793075,0.45547231836064334,824,2420290.6273538047,0.6815227623938676,20,2006
Temperate,605654613.5833399,22.522649349063713,1299885.7886921668,0.21462492971058636,769,2317754.7783471826,0.3826858949582248,20,2006
Tropical,2137156235.1562457,37.62115094558635,2060309.6983481832,0.09640426209633456,1251,8319478.390625611,0.38927796918962176,20,2006
Boreal,1126291795.9257,62.87783854028264,1724927.0973699999,0.15315099547114086,234,4080475.9716156004,0.3622929676285047,20,2007
Subtropical,355129829.97845393,15.771681465327061,1617518.069793075,0.45547231836064334,824,2714186.0730479276,0.7642799460728489,20,2007
Temperate,605654613.5833399,22.522649349063713,1299885.7886921668,0.21462492971058636,769,2814963.5910686376,0.4647803431090829,20,2007
Tropical,2137156235.1562457,37.62115094558635,2060309.6983481832,0.09640426209633456,1251,9118055.477915064,0.42664431022509924,20,2007
Boreal,1126291795.9257,62.87783854028264,1724927.0973699999,0.15315099547114086,234,4797139.107065599,0.42592329309500365,20,2008
Subtropical,355129829.97845393,15.771681465327061,1617518.069793075,0.45547231836064334,824,2747766.6417129273,0.7737358030103066,20,2008
Temperate,605654613.5833399,22.522649349063713,1299885.7886921668,0.21462492971058636,769,2458993.603869336,0.4060059229666829,20,2008
Tropical,2137156235.1562457,37.62115094558635,2060309.6983481832,0.09640426209633456,1251,8961793.543668915,0.4193326344722629,20,2008
Boreal,1126291795.9257,62.87783854028264,1724927.0973699999,0.15315099547114086,234,3532501.7309078006,0.3136400126225225,20,2009
Subtropical,355129829.97845393,15.771681465327061,1617518.069793075,0.45547231836064334,824,2117551.6923666634,0.5962753656867228,20,2009
Temperate,605654613.5833399,22.522649349063713,1299885.7886921668,0.21462492971058636,769,2048659.5394288483,0.33825541711108364,20,2009
Tropical,2137156235.1562457,37.62115094558635,2060309.6983481832,0.09640426209633456,1251,9646373.567794453,0.4513649217175372,20,2009
Boreal,1126291795.9257,62.87783854028264,1724927.0973699999,0.15315099547114086,234,4066631.4803,0.36106375763463966,20,2010
Subtropical,355129829.97845393,15.771681465327061,1617518.069793075,0.45547231836064334,824,2430206.8732215143,0.6843150498984998,20,2010
Temperate,605654613.5833399,22.522649349063713,1299885.7886921668,0.21462492971058636,769,2370484.630747325,0.3913921528183222,20,2010
Tropical,2137156235.1562457,37.62115094558635,2060309.6983481832,0.09640426209633456,1251,10044098.861594796,0.4699749459758369,20,2010
Boreal,1126291795.9257,62.87783854028264,1724927.0973699999,0.15315099547114086,234,4650682.4120872,0.4129198515793859,20,2011
Subtropical,355129829.97845393,15.771681465327061,1617518.069793075,0.45547231836064334,824,2190749.3388747964,0.6168868830330899,20,2011
Temperate,605654613.5833399,22.522649349063713,1299885.7886921668,0.21462492971058636,769,2279299.5029973015,0.3763365211587979,20,2011
Tropical,2137156235.1562457,37.62115094558635,2060309.6983481832,0.09640426209633456,1251,8794994.615122452,0.4115279206285757,20,2011
Boreal,1126291795.9257,62.87783854028264,1724927.0973699999,0.15315099547114086,234,7652286.3078141995,0.6794230709569167,20,2012
Subtropical,355129829.97845393,15.771681465327061,1617518.069793075,0.45547231836064334,824,2472518.9440879766,0.6962295857371336,20,2012
Temperate,605654613.5833399,22.522649349063713,1299885.7886921668,0.21462492971058636,769,2409877.858717693,0.39789639254289055,20,2012
Tropical,2137156235.1562457,37.62115094558635,2060309.6983481832,0.09640426209633456,1251,10890097.207300723,0.5095601822720535,20,2012
Boreal,1126291795.9257,62.87783854028264,1724927.0973699999,0.15315099547114086,234,7409091.267907001,0.6578305279954085,20,2013
Subtropical,355129829.97845393,15.771681465327061,1617518.069793075,0.45547231836064334,824,1927217.124367246,0.5426795953705641,20,2013
Temperate,605654613.5833399,22.522649349063713,1299885.7886921668,0.21462492971058636,769,1599568.5032730866,0.26410572418647665,20,2013
Tropical,2137156235.1562457,37.62115094558635,2060309.6983481832,0.09640426209633456,1251,8377450.349721688,0.3919905438784741,20,2013
Boreal,1098086057.533,61.30318810690362,1724927.0973699999,0.15708487377075744,234,3013528.5950207002,0.27443464693386627,25,2001
Subtropical,342903170.7699505,15.228682938750673,1617518.069793075,0.4717127771554635,824,1988654.5301354064,0.579946381268539,25,2001
Temperate,595227143.7361999,22.134880079751028,1299885.7886921668,0.21838483045865031,769,1729382.1424980334,0.29054154547503,25,2001
Tropical,2094111884.513257,36.863425335143916,2060309.6983481832,0.09838584621886473,1251,6783759.58774277,0.3239444672422337,25,2001
Boreal,1098086057.533,61.30318810690362,1724927.0973699999,0.15708487377075744,234,4990825.653922,0.45450223319787614,25,2002
Subtropical,342903170.7699505,15.228682938750673,1617518.069793075,0.4717127771554635,824,2142935.794187201,0.6249390431052241,25,2002
Temperate,595227143.7361999,22.134880079751028,1299885.7886921668,0.21838483045865031,769,1757878.7571810563,0.2953290648250636,25,2002
Tropical,2094111884.513257,36.863425335143916,2060309.6983481832,0.09838584621886473,1251,7798374.544254847,0.3723953147836442,25,2002
Boreal,1098086057.533,61.30318810690362,1724927.0973699999,0.15708487377075744,234,4420229.867755,0.402539476522054,25,2003
Subtropical,342903170.7699505,15.228682938750673,1617518.069793075,0.4717127771554635,824,1871623.9654213325,0.545817048357649,25,2003
Temperate,595227143.7361999,22.134880079751028,1299885.7886921668,0.21838483045865031,769,1691715.187019321,0.2842133805257168,25,2003
Tropical,2094111884.513257,36.863425335143916,2060309.6983481832,0.09838584621886473,1251,6740843.337854092,0.32189509011935596,25,2003
Boreal,1098086057.533,61.30318810690362,1724927.0973699999,0.15708487377075744,234,6361227.315887999,0.5793013463971451,25,2004
Subtropical,342903170.7699505,15.228682938750673,1617518.069793075,0.4717127771554635,824,2209589.89349317,0.6443772125325596,25,2004
Temperate,595227143.7361999,22.134880079751028,1299885.7886921668,0.21838483045865031,769,2681226.436344224,0.4504543290002451,25,2004
Tropical,2094111884.513257,36.863425335143916,2060309.6983481832,0.09838584621886473,1251,8858821.090693282,0.42303475550698066,25,2004
Boreal,1098086057.533,61.30318810690362,1724927.0973699999,0.15708487377075744,234,4868214.552135,0.4433363413312166,25,2005
Subtropical,342903170.7699505,15.228682938750673,1617518.069793075,0.4717127771554635,824,2234783.4004934016,0.6517243324042314,25,2005
Temperate,595227143.7361999,22.134880079751028,1299885.7886921668,0.21838483045865031,769,2315177.8530210643,0.3889570355425749,25,2005
Tropical,2094111884.513257,36.863425335143916,2060309.6983481832,0.09838584621886473,1251,8893438.010882862,0.4246878152334253,25,2005
Boreal,1098086057.533,61.30318810690362,1724927.0973699999,0.15708487377075744,234,4890157.258958099,0.44533460974311107,25,2006
Subtropical,342903170.7699505,15.228682938750673,1617518.069793075,0.4717127771554635,824,2403919.106991562,0.7010489583965736,25,2006
Temperate,595227143.7361999,22.134880079751028,1299885.7886921668,0.21838483045865031,769,2312507.715406596,0.38850844416992547,25,2006
Tropical,2094111884.513257,36.863425335143916,2060309.6983481832,0.09838584621886473,1251,8262916.1740973815,0.39457854354415095,25,2006
Boreal,1098086057.533,61.30318810690362,1724927.0973699999,0.15708487377075744,234,4044292.6777473,0.3683038000530992,25,2007
